state,switch,mode,margin,n,level,stat,p,pm
AL,switch,crop discontinuation,user's accuracy,5141,state,mean,0.8007923238179394,0.8475431272407372
AL,switch,crop discontinuation,producer's accuracy,5141,state,mean,0.7640917026363612,0.8475431272407372
AL,switch,crop introduction,user's accuracy,4209,state,mean,0.7880001601887269,0.8475431272407372
AL,switch,crop introduction,producer's accuracy,4209,state,mean,0.7797789750863886,0.8475431272407372
AL,no switch,crop discontinuation,user's accuracy,40899,state,mean,0.9019639107975213,0.8475431272407372
AL,no switch,crop discontinuation,producer's accuracy,40899,state,mean,0.871003195564608,0.8475431272407372
AL,no switch,crop introduction,user's accuracy,41831,state,mean,0.9010598001508991,0.8475431272407372
AL,no switch,crop introduction,producer's accuracy,41831,state,mean,0.8717546642549922,0.8475431272407372
AL,overall,crop discontinuation,user's accuracy,46040,state,mean,0.8234914998036446,0.8475431272407372
AL,overall,crop discontinuation,producer's accuracy,46040,state,mean,0.8000861045209248,0.8475431272407372
AL,overall,crop introduction,user's accuracy,46040,state,mean,0.8380655913526914,0.8475431272407372
AL,overall,crop introduction,producer's accuracy,46040,state,mean,0.812191130632319,0.8475431272407372
AL,switch,crop discontinuation,user's accuracy,5141,state,median,0.8177137008001983,0.8475431272407372
